Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy
0,0.4266054630279541,0.4382225573062897,0.9244045615196228,0.921513020992279
1,0.4539642035961151,0.46682658791542053,0.9175192713737488,0.9067391753196716
2,0.4825683832168579,0.49424219131469727,0.8994632959365845,0.8922197818756104
3,0.5076374411582947,0.5166113376617432,0.909015417098999,0.913803219795227
4,0.5265958309173584,0.5324088335037231,0.9054511785507202,0.9051933288574219
5,0.5395285487174988,0.5429360866546631,0.9056440591812134,0.903040885925293
6,0.5482829809188843,0.550045907497406,0.8994129300117493,0.8952332735061646
7,0.5538705587387085,0.554454505443573,0.8964525461196899,0.8956246376037598
8,0.5573931336402893,0.5573074221611023,0.8979872465133667,0.8978749513626099
9,0.5599319934844971,0.5595857501029968,0.8987252712249756,0.8979727625846863
10,0.5617513060569763,0.5610878467559814,0.9004276990890503,0.9010645151138306
11,0.5632143616676331,0.562706470489502,0.9010818600654602,0.8985010981559753
12,0.5644079446792603,0.5634863972663879,0.9008386731147766,0.9027473330497742
13,0.5654242038726807,0.5648117661476135,0.9030778408050537,0.9007318615913391
14,0.5662376880645752,0.5653384923934937,0.9057698845863342,0.9076588749885559
15,0.567091166973114,0.5664828419685364,0.9073381423950195,0.9047824144363403
16,0.5679698586463928,0.5672522783279419,0.9043190479278564,0.9041366577148438
17,0.5685107111930847,0.5678221583366394,0.9102901816368103,0.9109658598899841
18,0.5692884922027588,0.5688284039497375,0.9106088280677795,0.9117094278335571
19,0.5694989562034607,0.5686795711517334,0.9226434230804443,0.9257788062095642
20,0.5703765749931335,0.5704483389854431,0.9208738803863525,0.9129226803779602
21,0.57122403383255,0.5708939433097839,0.9127809405326843,0.9156621694564819
22,0.5717058777809143,0.5718129873275757,0.9175360798835754,0.9131379127502441
23,0.5723353624343872,0.572442352771759,0.9141814708709717,0.91446852684021
24,0.5726748108863831,0.5724179744720459,0.9182069897651672,0.9232545495033264
25,0.572917640209198,0.5725844502449036,0.9277423620223999,0.9281465411186218
26,0.5734671354293823,0.5735740065574646,0.9280275106430054,0.9259940385818481
27,0.5740850567817688,0.5741419196128845,0.9235323667526245,0.9264832735061646
28,0.5744957327842712,0.5750107765197754,0.9271301627159119,0.9221000075340271
29,0.5750508308410645,0.5752481818199158,0.9209409356117249,0.9227457642555237
30,0.5752976536750793,0.5750823616981506,0.9270714521408081,0.9284987449645996
31,0.5758615136146545,0.5764694809913635,0.9275997877120972,0.9233915209770203
32,0.5764376521110535,0.5771140456199646,0.9233143329620361,0.9225892424583435
33,0.5768051743507385,0.5766022205352783,0.9274153113365173,0.9298293590545654
34,0.5772691369056702,0.5774665474891663,0.932497501373291,0.9309839010238647
35,0.5779138207435608,0.57804274559021,0.933109700679779,0.9327058792114258
36,0.5784805417060852,0.5784971117973328,0.9351727366447449,0.934349536895752
37,0.5793115496635437,0.5794094204902649,0.9345521926879883,0.9341734647750854
38,0.5800436735153198,0.5797269940376282,0.9364139437675476,0.936756432056427
39,0.5808844566345215,0.5804820656776428,0.9384183287620544,0.9385958313941956
40,0.5818910598754883,0.5814968943595886,0.940456211566925,0.9394176602363586
41,0.5834527015686035,0.5829626321792603,0.9402046203613281,0.9394568204879761
42,0.5849538445472717,0.5839436054229736,0.9441630244255066,0.9501408934593201
43,0.5860356688499451,0.5847111344337463,0.9528597593307495,0.9519802927970886
44,0.5871928334236145,0.5859456062316895,0.9530442953109741,0.9518824219703674
45,0.5878739953041077,0.5856966972351074,0.9532371759414673,0.9538000822067261
46,0.5887377858161926,0.587593138217926,0.953840970993042,0.9517063498497009
47,0.5890278220176697,0.5869252681732178,0.9532036185264587,0.9529978036880493
48,0.5892449617385864,0.5878562331199646,0.9540255069732666,0.9526064395904541
49,0.5898754596710205,0.5879518389701843,0.9533545970916748,0.9530760645866394
